,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,40,38,40,,,,40,38,36,38,,,,38,36,34,36,,,,36,34,32,34,,,,,,,,,,,,,,,,,,,,,,,,
,44,38,44,42,,,,42,36,42,40,,,,40,34,40,38,,,,38,32,38,36,,,,,,,,,,,,,,,,,,,,,,,,
,46,36,34,36,,,,44,34,32,34,,,,42,32,42,32,,,,40,30,28,30,,,,,,,,,,,,,,,,,,,,,,,,
,48,34,48,46,,,,46,32,46,44,,,,44,30,44,30,,,,42,28,42,40,,,,,,,,,,,,,,,,,,,,,,,,
,1,32,30,32,,,,48,30,28,30,,,,46,28,26,28,,,,44,26,24,26,,,,,,,,,,,,,,,,,,,,,,,,
,3,30,3,1,,,,1,28,1,48,,,,48,26,48,46,,,,46,24,46,44,,,,,,,,,,,,,,,,,,,,,,,,
,5,28,26,28,,,,3,26,24,26,,,,1,24,22,24,,,,48,22,20,22,,,,,,,,,,,,,,,,,,,,,,,,
,7,26,7,5,,,,5,24,5,3,,,,3,22,3,1,,,,1,20,1,48,,,,,,,,,,,,,,,,,,,,,,,,
,9,24,22,24,,,,7,22,20,22,,,,5,20,18,20,,,,3,18,16,18,,,,,,,,,,,,,,,,,,,,,,,,
,11,22,11,9,,,,9,20,9,7,,,,7,18,7,5,,,,5,16,5,3,,,,,,,,,,,,,,,,,,,,,,,,
,13,20,13,20,,,,11,18,16,18,,,,9,16,14,16,,,,7,14,12,14,,,,,,,,,,,,,,,,,,,,,,,,
,15,18,15,18,,,,13,16,13,11,,,,11,14,11,9,,,,9,12,9,7,,,,,,,,,,,,,,,,,,,,,,,,
,17,16,14,16,,,,15,14,12,14,,,,13,12,10,12,,,,11,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,
,19,14,19,17,,,,17,12,17,15,,,,15,10,15,13,,,,13,8,13,11,,,,,,,,,,,,,,,,,,,,,,,,
,21,12,10,12,,,,19,10,8,10,,,,17,8,6,8,,,,15,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,
,23,10,23,21,,,,21,8,21,19,,,,19,6,19,17,,,,17,4,17,15,,,,,,,,,,,,,,,,,,,,,,,,
,25,8,6,8,,,,23,6,4,6,,,,21,4,2,4,,,,19,2,49,2,,,,,,,,,,,,,,,,,,,,,,,,
,27,6,27,25,,,,25,4,25,23,,,,23,2,23,21,,,,21,49,21,19,,,,,,,,,,,,,,,,,,,,,,,,
,29,4,2,4,,,,27,2,49,2,,,,25,49,47,49,,,,23,47,45,47,,,,,,,,,,,,,,,,,,,,,,,,
,31,2,31,29,,,,29,49,29,27,,,,27,47,27,25,,,,25,45,25,23,,,,,,,,,,,,,,,,,,,,,,,,
,33,49,47,49,,,,31,47,45,47,,,,29,45,43,45,,,,27,43,41,43,,,,,,,,,,,,,,,,,,,,,,,,
,35,47,35,33,,,,33,45,33,31,,,,31,43,31,29,,,,29,41,29,27,,,,,,,,,,,,,,,,,,,,,,,,
,37,45,43,45,,,,35,43,41,43,,,,33,41,39,41,,,,31,39,37,39,,,,,,,,,,,,,,,,,,,,,,,,
,39,43,39,37,,,,37,41,37,35,,,,35,39,35,33,,,,33,37,33,31,,,,,,,,,,,,,,,,,,,,,,,,
,41,,,41,,,,39,,,39,,,,37,,,37,,,,35,,,35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
