,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,32,30,32,,,,32,30,28,30,,,,30,28,26,28,,,,28,26,24,26,,,,,,,,,,,,,,,,,,,,,,,
,,36,30,36,34,,,,34,28,34,32,,,,32,26,32,30,,,,30,24,30,28,,,,,,,,,,,,,,,,,,,,,,,
,,38,28,26,28,,,,36,26,24,26,,,,34,24,34,24,,,,32,22,20,22,,,,,,,,,,,,,,,,,,,,,,,
,,40,26,40,38,,,,38,24,38,36,,,,36,22,36,22,,,,34,20,34,32,,,,,,,,,,,,,,,,,,,,,,,
,,42,24,22,24,,,,40,22,20,22,,,,38,20,18,20,,,,36,18,16,18,,,,,,,,,,,,,,,,,,,,,,,
,,44,22,44,42,,,,42,20,42,40,,,,40,18,40,38,,,,38,16,38,36,,,,,,,,,,,,,,,,,,,,,,,
,,46,20,18,20,,,,44,18,16,18,,,,42,16,14,16,,,,40,14,12,14,,,,,,,,,,,,,,,,,,,,,,,
,,48,18,48,46,,,,46,16,46,44,,,,44,14,44,42,,,,42,12,42,40,,,,,,,,,,,,,,,,,,,,,,,
,,1,16,14,16,,,,48,14,12,14,,,,46,12,10,12,,,,44,10,8,10,,,,,,,,,,,,,,,,,,,,,,,
,,3,14,3,1,,,,1,12,1,48,,,,48,10,48,46,,,,46,8,46,44,,,,,,,,,,,,,,,,,,,,,,,
,,5,12,10,12,,,,3,10,8,10,,,,1,8,6,8,,,,48,6,4,6,,,,,,,,,,,,,,,,,,,,,,,
,,7,10,7,5,,,,5,8,5,3,,,,3,6,3,1,,,,1,4,1,48,,,,,,,,,,,,,,,,,,,,,,,
,,9,8,6,8,,,,7,6,4,6,,,,5,4,2,4,,,,3,2,49,2,,,,,,,,,,,,,,,,,,,,,,,
,,11,6,11,9,,,,9,4,9,7,,,,7,2,7,5,,,,5,49,5,3,,,,,,,,,,,,,,,,,,,,,,,
,,13,4,2,4,,,,11,2,49,2,,,,9,49,47,49,,,,7,47,45,47,,,,,,,,,,,,,,,,,,,,,,,
,,15,2,15,13,,,,13,49,13,11,,,,11,47,11,9,,,,9,45,9,7,,,,,,,,,,,,,,,,,,,,,,,
,,17,49,47,49,,,,15,47,45,47,,,,13,45,43,45,,,,11,43,41,43,,,,,,,,,,,,,,,,,,,,,,,
,,19,47,19,17,,,,17,45,17,15,,,,15,43,15,13,,,,13,41,13,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,45,43,45,,,,19,43,41,43,,,,17,41,39,41,,,,15,39,37,39,,,,,,,,,,,,,,,,,,,,,,,
,,23,43,23,21,,,,21,41,21,19,,,,19,39,19,17,,,,17,37,17,15,,,,,,,,,,,,,,,,,,,,,,,
,,25,41,39,41,,,,23,39,37,39,,,,21,37,35,37,,,,19,35,33,35,,,,,,,,,,,,,,,,,,,,,,,
,,27,39,27,25,,,,25,37,25,23,,,,23,35,23,21,,,,21,33,21,19,,,,,,,,,,,,,,,,,,,,,,,
,,29,37,35,37,,,,27,35,33,35,,,,25,33,31,33,,,,23,31,29,31,,,,,,,,,,,,,,,,,,,,,,,
,,31,35,31,29,,,,29,33,29,27,,,,27,31,27,25,,,,25,29,25,23,,,,,,,,,,,,,,,,,,,,,,,
,,33,,,33,,,,31,,,31,,,,29,,,29,,,,27,,,27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
