,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,4,1,7,1,40,,,,,,1,26,1,7,1,46,,,,,,1,4,1,7,1,40,,,,,,1,4,1,7,1,49,,,,,,,,,
,,7,10,4,10,4,43,,,,,,7,32,26,32,26,27,,,,,,7,10,4,10,4,43,,,,,,7,10,4,10,4,46,,,,,,,,,
,,13,16,13,19,13,2,,,,,,13,38,13,19,13,8,,,,,,13,16,13,19,13,2,,,,,,13,16,13,22,13,11,,,,,,,,,
,,19,22,16,22,16,5,,,,,,19,44,38,44,38,39,,,,,,19,22,16,22,16,5,,,,,,22,19,16,19,16,8,,,,,,,,,
,,25,28,25,31,25,14,,,,,,25,3,25,31,25,20,,,,,,25,28,25,31,25,14,,,,,,28,25,28,34,28,23,,,,,,,,,
,,31,34,28,34,28,17,,,,,,31,15,3,15,3,9,,,,,,31,34,28,34,28,17,,,,,,34,31,25,31,25,20,,,,,,,,,
,,40,43,40,46,7,26,,,,,,40,21,40,46,7,40,,,,,,40,43,40,46,7,46,,,,,,43,40,43,49,7,43,,,,,,,,,
,,46,49,43,49,10,29,,,,,,46,27,21,27,32,21,,,,,,46,49,43,49,10,49,,,,,,49,46,40,46,10,40,,,,,,,,,
,,2,5,2,8,19,38,,,,,,2,33,2,8,19,2,,,,,,2,5,2,8,19,8,,,,,,5,2,5,11,22,5,,,,,,,,,
,,8,11,5,11,22,41,,,,,,8,39,33,39,44,33,,,,,,8,11,5,11,22,11,,,,,,11,8,2,8,19,2,,,,,,,,,
,,14,17,14,20,31,3,,,,,,14,45,14,20,31,14,,,,,,14,17,14,20,31,20,,,,,,17,14,17,23,34,17,,,,,,,,,
,,20,23,17,23,34,6,,,,,,20,9,45,9,15,45,,,,,,20,23,17,23,34,23,,,,,,23,20,14,20,31,14,,,,,,,,,
,,26,29,26,32,21,46,,,,,,4,37,4,10,49,4,,,,,,29,26,29,35,24,35,,,,,,29,26,29,35,27,29,,,,,,,,,
,,32,35,29,35,18,49,,,,,,10,29,37,29,18,37,,,,,,35,32,26,32,27,32,,,,,,35,32,26,32,24,26,,,,,,,,,
,,38,41,38,44,33,8,,,,,,16,35,16,22,11,16,,,,,,41,38,41,47,36,47,,,,,,41,38,41,44,39,41,,,,,,,,,
,,44,47,41,47,30,11,,,,,,22,41,35,41,30,35,,,,,,47,44,38,44,39,44,,,,,,44,47,38,47,36,38,,,,,,,,,
,,3,6,3,15,45,20,,,,,,28,47,28,34,23,28,,,,,,6,3,6,12,48,12,,,,,,3,6,3,15,9,3,,,,,,,,,
