,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,28,,,,28,26,,,,26,24,,,,24,22,,,,22,20,,,,20,18,,,,,,,,,,,,,,,,,,,,,,
,32,26,,,,30,24,,,,28,22,,,,26,20,,,,24,18,,,,22,16,,,,,,,,,,,,,,,,,,,,,,
,34,24,,,,32,22,,,,30,20,,,,28,18,,,,26,16,,,,24,14,,,,,,,,,,,,,,,,,,,,,,
,36,22,,,,34,20,,,,32,18,,,,30,16,,,,28,14,,,,26,12,,,,,,,,,,,,,,,,,,,,,,
,38,20,,,,36,18,,,,34,16,,,,32,14,,,,30,12,,,,28,10,,,,,,,,,,,,,,,,,,,,,,
,40,18,,,,38,16,,,,36,14,,,,34,12,,,,32,10,,,,30,8,,,,,,,,,,,,,,,,,,,,,,
,42,16,,,,40,14,,,,38,12,,,,36,10,,,,34,8,,,,32,6,,,,,,,,,,,,,,,,,,,,,,
,44,14,,,,42,12,,,,40,10,,,,38,8,,,,36,6,,,,34,4,,,,,,,,,,,,,,,,,,,,,,
,46,12,,,,44,10,,,,42,8,,,,40,6,,,,38,4,,,,36,2,,,,,,,,,,,,,,,,,,,,,,
,48,10,,,,46,8,,,,44,6,,,,42,4,,,,40,2,,,,38,49,,,,,,,,,,,,,,,,,,,,,,
,1,8,,,,48,6,,,,46,4,,,,44,2,,,,42,49,,,,40,47,,,,,,,,,,,,,,,,,,,,,,
,3,6,,,,1,4,,,,48,2,,,,46,49,,,,44,47,,,,42,45,,,,,,,,,,,,,,,,,,,,,,
,5,4,,,,3,2,,,,1,49,,,,48,47,,,,46,45,,,,44,43,,,,,,,,,,,,,,,,,,,,,,
,7,2,,,,5,49,,,,3,47,,,,1,45,,,,48,43,,,,46,41,,,,,,,,,,,,,,,,,,,,,,
,9,49,,,,7,47,,,,5,45,,,,3,43,,,,1,41,,,,48,39,,,,,,,,,,,,,,,,,,,,,,
,11,47,,,,9,45,,,,7,43,,,,5,41,,,,3,39,,,,1,37,,,,,,,,,,,,,,,,,,,,,,
,13,45,,,,11,43,,,,9,41,,,,7,39,,,,5,37,,,,3,35,,,,,,,,,,,,,,,,,,,,,,
,15,43,,,,13,41,,,,11,39,,,,9,37,,,,7,35,,,,5,33,,,,,,,,,,,,,,,,,,,,,,
,17,41,,,,15,39,,,,13,37,,,,11,35,,,,9,33,,,,7,31,,,,,,,,,,,,,,,,,,,,,,
,19,39,,,,17,37,,,,15,35,,,,13,33,,,,11,31,,,,9,29,,,,,,,,,,,,,,,,,,,,,,
,21,37,,,,19,35,,,,17,33,,,,15,31,,,,13,29,,,,11,27,,,,,,,,,,,,,,,,,,,,,,
,23,35,,,,21,33,,,,19,31,,,,17,29,,,,15,27,,,,13,25,,,,,,,,,,,,,,,,,,,,,,
,25,33,,,,23,31,,,,21,29,,,,19,27,,,,17,25,,,,15,23,,,,,,,,,,,,,,,,,,,,,,
,27,31,,,,25,29,,,,23,27,,,,21,25,,,,19,23,,,,17,21,,,,,,,,,,,,,,,,,,,,,,
,29,,,,,27,,,,,25,,,,,23,,,,,21,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
