,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,2,12,30,5,25,43,20,14,13,10,7,6,4,,,,,,,,,,,,,,,,20,2,12,10,35,47,48,20,30,43,16,19,36,40,,,,,,
,14,15,16,32,17,19,9,2,15,36,35,34,33,1,,,,,,,,,,,,,,,,30,5,25,41,23,39,7,2,5,14,32,9,37,21,,,,,,
,13,36,37,38,40,21,46,12,16,37,47,45,31,29,,,,,,,,,,,,,,,,43,14,15,34,45,44,42,12,25,15,17,13,38,46,,,,,,
,10,35,47,48,41,23,39,30,32,38,48,44,28,18,,,,,,,,,,,,,,,,16,32,17,24,49,6,33,10,41,34,24,31,11,18,,,,,,
,7,34,45,44,42,24,49,5,17,40,41,42,27,8,,,,,,,,,,,,,,,,19,9,13,31,28,27,26,35,23,45,49,28,4,8,,,,,,
,6,33,31,28,27,26,11,25,19,21,23,24,26,22,,,,,,,,,,,,,,,,36,37,38,11,4,1,29,47,39,44,6,27,1,22,,,,,,
,4,1,29,18,8,22,3,43,9,46,39,49,11,3,,,,,,,,,,,,,,,,40,21,46,18,8,22,3,48,7,42,33,26,29,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
