,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3,12,5,32,25,43,1,15,14,11,10,7,4,,,,,,,,,,,,,,,,1,3,12,11,36,47,48,1,5,43,17,21,37,40,,,,,,
,15,16,17,19,20,21,9,3,16,37,36,35,34,2,,,,,,,,,,,,,,,,5,32,25,41,24,27,10,3,32,15,19,9,38,23,,,,,,
,14,37,38,39,40,23,18,12,17,38,47,45,33,46,,,,,,,,,,,,,,,,43,15,16,35,45,44,42,12,25,16,20,14,39,18,,,,,,
,11,36,47,48,41,24,27,5,19,39,48,44,31,8,,,,,,,,,,,,,,,,17,19,20,26,29,7,34,11,41,35,26,33,49,8,,,,,,
,10,35,45,44,42,26,29,32,20,40,41,42,30,6,,,,,,,,,,,,,,,,21,9,14,33,31,30,28,36,24,45,29,31,4,6,,,,,,
,7,34,33,31,30,28,49,25,21,23,24,26,28,22,,,,,,,,,,,,,,,,37,38,39,49,4,2,46,47,27,44,7,30,2,22,,,,,,
,4,2,46,8,6,22,13,43,9,18,27,29,49,13,,,,,,,,,,,,,,,,40,23,18,8,6,22,13,48,10,42,34,28,46,13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
